seed,mirror,feature,std_ratio,out_of_range,discrete,tv_dist,collapsed_category,degenerate,support_violation,flagged
77,tl_counterfactual,ip_proto,0.5665464023407052,0.0,True,0.14955833333333332,True,False,False,False
77,tl_counterfactual,tp_src,0.0,1.0,False,,False,True,True,True
77,tl_counterfactual,tp_dst,1.2072035822882015,0.0005333333333333334,False,,False,False,False,False
77,tl_counterfactual,packet_count,0.5026175930843643,0.0,False,,False,False,False,False
77,tl_counterfactual,byte_count,0.22615151217055696,0.0,False,,False,False,False,False
77,tl_counterfactual,duration_sec,1.2885460614085298,3.3333333333333335e-05,False,,False,False,False,False
77,tl_counterfactual,packet_count_per_sec,0.35343856819679675,0.00013333333333333334,False,,False,False,False,False
77,tl_counterfactual,byte_count_per_sec,40.703379776670054,0.0033333333333333335,False,,False,False,False,False
77,tl_counterfactual,packet_size_avg,1.4854932918263268,0.0,False,,False,False,False,False
77,mlcve,ip_proto,0.5610726548841729,0.0,True,0.15959166666666666,True,False,False,False
77,mlcve,tp_src,0.0,1.0,False,,False,True,True,True
77,mlcve,tp_dst,1.2714071071424105,0.0004,False,,False,False,False,False
77,mlcve,packet_count,32.61056868328061,6.666666666666667e-05,False,,False,False,False,False
77,mlcve,byte_count,18.1420365815261,6.666666666666667e-05,False,,False,False,False,False
77,mlcve,duration_sec,1.3809689840290502,3.3333333333333335e-05,False,,False,False,False,False
77,mlcve,packet_count_per_sec,0.345188242408078,0.0001,False,,False,False,False,False
77,mlcve,byte_count_per_sec,50.563580920046604,0.0036333333333333335,False,,False,False,False,False
77,mlcve,packet_size_avg,1.5546476518632193,0.0,False,,False,False,False,False
101,trafficlabelling,ip_proto,1.0418654289560587,0.0,True,0.3532166666666667,True,False,False,False
101,trafficlabelling,tp_src,0.9489265543295861,0.001,False,,False,False,False,False
101,trafficlabelling,tp_dst,1.199612123239879,0.0007333333333333333,False,,False,False,False,False
101,trafficlabelling,packet_count,0.8121528723666666,6.666666666666667e-05,False,,False,False,False,False
101,trafficlabelling,byte_count,0.25945303148722465,0.0,False,,False,False,False,False
101,trafficlabelling,duration_sec,1.2873774985273727,0.00013333333333333334,False,,False,False,False,False
101,trafficlabelling,packet_count_per_sec,0.37239435197978477,0.0002666666666666667,False,,False,False,False,False
101,trafficlabelling,byte_count_per_sec,33.01109920312635,0.0021666666666666666,False,,False,False,False,False
101,trafficlabelling,packet_size_avg,1.4411231383687155,0.0,False,,False,False,False,False
101,tl_counterfactual,ip_proto,0.5681766283332207,0.0,True,0.14969166666666667,True,False,False,False
101,tl_counterfactual,tp_src,0.0,1.0,False,,False,True,True,True
101,tl_counterfactual,tp_dst,1.199612123239879,0.0007333333333333333,False,,False,False,False,False
101,tl_counterfactual,packet_count,0.8121528723666666,6.666666666666667e-05,False,,False,False,False,False
101,tl_counterfactual,byte_count,0.25945303148722465,0.0,False,,False,False,False,False
101,tl_counterfactual,duration_sec,1.2873774985273727,0.00013333333333333334,False,,False,False,False,False
101,tl_counterfactual,packet_count_per_sec,0.37239435197978477,0.0002666666666666667,False,,False,False,False,False
101,tl_counterfactual,byte_count_per_sec,33.01109920312635,0.0021666666666666666,False,,False,False,False,False
101,tl_counterfactual,packet_size_avg,1.4411231383687155,0.0,False,,False,False,False,False
101,mlcve,ip_proto,0.5605769680797804,0.0,True,0.16335833333333338,True,False,False,False
101,mlcve,tp_src,0.0,1.0,False,,False,True,True,True
101,mlcve,tp_dst,1.2684020386835122,0.0005333333333333334,False,,False,False,False,False
101,mlcve,packet_count,48.18831667923814,6.666666666666667e-05,False,,False,False,False,False
101,mlcve,byte_count,20.407485839170636,3.3333333333333335e-05,False,,False,False,False,False
101,mlcve,duration_sec,1.3421359856651227,0.0001,False,,False,False,False,False
101,mlcve,packet_count_per_sec,0.3548114346010102,0.00023333333333333333,False,,False,False,False,False
101,mlcve,byte_count_per_sec,59.63690849368218,0.0024666666666666665,False,,False,False,False,False
101,mlcve,packet_size_avg,1.519442869838412,0.0,False,,False,False,False,False
